year	onth	Baseflow_O(mm)
1988	1	10.82037689
1988	2	12.00131702
1988	3	12.76838182
1988	4	14.46161355
1988	5	29.08668198
1988	6	65.03981058
1988	7	79.76120727
1988	8	70.42056397
1988	9	80.14468463
1988	10	64.62261818
1988	11	34.25860562
1988	12	23.93381455
1989	1	17.77001355
1989	2	14.54714479
1989	3	15.53273554
1989	4	16.57347769
1989	5	40.77259438
1989	6	87.98174777
1989	7	93.26363207
1989	8	71.05088231
1989	9	81.95427074
1989	10	67.77495967
1989	11	37.62781587
1989	12	27.38140661
1990	1	22.50776826
1990	2	18.60932826
1990	3	19.84833818
1990	4	20.95957785
1990	5	35.2460886
1990	6	63.77345851
1990	7	86.83056893
1990	8	68.23469157
1990	9	76.24235008
1990	10	56.29402413
1990	11	35.03270975
1990	12	25.47891372
1991	1	20.56319405
1991	2	16.8893524
1991	3	18.29395339
1991	4	17.82444793
1991	5	29.98397752
1991	6	68.2962605
1991	7	74.95457058
1991	8	67.66474017
1991	9	54.42278281
1991	10	61.16715669
1991	11	34.52418446
1991	12	24.93656033
1992	1	20.44529851
1992	2	17.4484324
1992	3	18.49524694
1992	4	21.05413587
1992	5	44.60720132
1992	6	96.34788298
1992	7	120.0858248
1992	8	83.3806919
1992	9	68.74378215
1992	10	60.24383405
1992	11	33.1866714
1992	12	24.10222612
1993	1	20.02371174
1993	2	16.35233058
1993	3	16.95083207
1993	4	17.63842017
1993	5	39.3123362
1993	6	67.75837587
1993	7	100.2494499
1993	8	99.07603736
1993	9	79.10327603
1993	10	65.9012519
1993	11	40.32920826
1993	12	27.3395276
1994	1	21.29709421
1994	2	16.81323471
1994	3	17.72988099
1994	4	19.61049719
1994	5	40.86480793
1994	6	77.82872727
1994	7	71.74852066
1994	8	47.10145686
1994	9	50.43472661
1994	10	60.20206215
1994	11	31.7980205
1994	12	23.97291174
1995	1	19.69712926
1995	2	15.78894843
1995	3	17.20445653
1995	4	19.64128165
1995	5	47.05059868
1995	6	105.274324
1995	7	95.25273322
1995	8	64.71732198
1995	9	59.89826678
1995	10	48.85322876
1995	11	32.27812959
1995	12	27.52139603
1996	1	24.7366681
1996	2	19.67059041
1996	3	20.83108463
1996	4	24.54144694
1996	5	41.18742446
1996	6	72.01241256
1996	7	88.56526017
1996	8	65.55920727
1996	9	59.99341091
1996	10	58.53907636
1996	11	40.01520198
1996	12	33.27034909
1997	1	27.89664694
1997	2	20.04398777
1997	3	22.61247471
1997	4	28.21193851
1997	5	43.64451967
1997	6	79.30702116
1997	7	88.23503603
1997	8	58.53203107
1997	9	43.42467273
1997	10	42.61244132
1997	11	32.75868793
1997	12	27.05903107
1998	1	27.53540331
1998	2	20.64908826
1998	3	19.9875838
1998	4	17.94641355
1998	5	36.63851504
1998	6	61.57783041
1998	7	87.29562645
1998	8	88.23436661
1998	9	64.23411273
1998	10	59.67279372
1998	11	37.15582017
1998	12	24.94642612
1999	1	19.3687081
1999	2	15.33241785
1999	3	16.47166017
1999	4	18.15217587
1999	5	45.16632893
1999	6	89.42219107
1999	7	114.2608552
1999	8	78.4811395
1999	9	59.10119702
1999	10	61.54194347
1999	11	37.46233785
1999	12	25.41089157
2000	1	21.06736661
2000	2	17.80138116
2000	3	17.40768992
2000	4	19.65888893
2000	5	40.73181025
2000	6	73.24300562
2000	7	75.46759736
2000	8	59.75244893
2000	9	55.3658757
2000	10	42.91939636
2000	11	27.84837719
2000	12	18.92402777
2001	1	17.35609983
2001	2	14.46020033
2001	3	16.7324876
2001	4	19.0025643
2001	5	40.8305514
2001	6	76.54268826
2001	7	70.48398942
2001	8	64.17215702
2001	9	83.15412992
2001	10	64.32980727
2001	11	37.66866545
2001	12	26.73797355
2002	1	19.09317719
2002	2	15.58714612
2002	3	17.62869421
2002	4	19.4663038
2002	5	34.82683736
2002	6	71.02590545
2002	7	73.75693091
2002	8	61.47624496
2002	9	40.1777762
2002	10	39.0881514
2002	11	27.56390876
2002	12	19.99229653
2003	1	16.57093983
2003	2	13.39904529
2003	3	14.3309038
2003	4	14.92225587
2003	5	29.89783934
2003	6	75.5830919
2003	7	98.45573355
2003	8	81.99256463
2003	9	72.69980727
2003	10	43.48474512
2003	11	27.08382645
2003	12	20.9293557
2004	1	17.71072661
2004	2	13.57016132
2004	3	15.71656463
2004	4	20.53928826
2004	5	39.28454777
2004	6	81.6412314
2004	7	77.90418149
2004	8	59.48661719
2004	9	74.52713752
2004	10	68.59632793
2004	11	38.53063934
2004	12	27.06593355
2005	1	21.0978119
2005	2	15.90681421
2005	3	16.96525289
2005	4	20.97828
2005	5	44.20630116
2005	6	101.3886774
2005	7	100.524243
2005	8	94.85771802
2005	9	68.96359934
2005	10	50.52814215
2005	11	31.42355207
2005	12	23.31676562
2006	1	17.95830843
2006	2	14.59114215
2006	3	16.32168
2006	4	18.9673795
2006	5	39.63804397
2006	6	70.77247438
2006	7	74.1488995
2006	8	48.05174678
2006	9	47.90034744
2006	10	46.36931504
2006	11	28.17731901
2006	12	20.60971736
