day hour dtsum  rainrate node    sso       ss         u        bw        fl      ak        d

106 14   452.9 0.000E+00  98 0.101E-03 0.605E-03 -.255E-07 0.200E+03   0.163 0.115E+03 0.100E-02

106 14   593.4 0.000E+00  98 0.609E-03 0.147E-02 -.365E-06 0.201E+03   0.165 0.115E+03 0.100E-02

106 14   804.2 0.000E+00  98 0.148E-02 0.244E-02 -.167E-05 0.201E+03   0.168 0.115E+03 0.100E-02

106 14  1015.1 0.000E+00  98 0.245E-02 0.396E-02 -.717E-05 0.202E+03   0.171 0.115E+03 0.100E-02

106 14  1331.3 0.000E+00  98 0.398E-02 0.538E-02 -.179E-04 0.203E+03   0.176 0.115E+03 0.100E-02

106 14  1647.5 0.000E+00  98 0.539E-02 0.597E-02 -.246E-04 0.204E+03   0.181 0.116E+03 0.101E-02

day hour dtsum  rainrate node    sso       ss         u        bw        fl      ak        d

106 14     0.0 0.000E+00  98 0.598E-02 0.649E-02 -.316E-04 0.205E+03   0.183 0.116E+03 0.101E-02

106 14   152.5 0.000E+00  98 0.649E-02 0.694E-02 -.386E-04 0.205E+03   0.185 0.116E+03 0.101E-02

106 14   305.0 0.000E+00  98 0.694E-02 0.748E-02 -.485E-04 0.205E+03   0.186 0.116E+03 0.101E-02

106 14   533.7 0.000E+00  98 0.749E-02 0.790E-02 -.570E-04 0.205E+03   0.188 0.116E+03 0.101E-02

106 14   762.5 0.000E+00  98 0.791E-02 0.837E-02 -.681E-04 0.206E+03   0.189 0.116E+03 0.101E-02

106 14  1105.6 0.000E+00  98 0.840E-02 0.877E-02 -.784E-04 0.206E+03   0.191 0.116E+03 0.101E-02

106 14  1448.7 0.000E+00  98 0.880E-02 0.910E-02 -.879E-04 0.206E+03   0.193 0.117E+03 0.101E-02

day hour dtsum  rainrate node    sso       ss         u        bw        fl      ak        d

106 15     0.0 0.000E+00  98 0.914E-02 0.918E-02 -.905E-04 0.206E+03   0.194 0.117E+03 0.101E-02

106 15     0.0 0.000E+00  97 0.164E-02 0.684E-02 -.369E-04 0.202E+03   0.169 0.115E+03 0.100E-02

106 15   351.3 0.000E+00  98 0.922E-02 0.897E-02 -.844E-04 0.206E+03   0.195 0.117E+03 0.101E-02

106 15   351.3 0.000E+00  97 0.686E-02 0.947E-02 -.978E-04 0.206E+03   0.185 0.115E+03 0.100E-02

106 15   702.7 0.000E+00  98 0.900E-02 0.852E-02 -.723E-04 0.206E+03   0.193 0.117E+03 0.101E-02

106 15   702.7 0.000E+00  97 0.955E-02 0.983E-02 -.109E-03 0.208E+03   0.193 0.115E+03 0.101E-02

106 15  1229.7 0.000E+00  98 0.855E-02 0.810E-02 -.617E-04 0.206E+03   0.191 0.116E+03 0.101E-02

106 15  1229.7 0.000E+00  97 0.101E-01 0.948E-02 -.982E-04 0.208E+03   0.195 0.115E+03 0.101E-02

106 15  1756.7 0.000E+00  98 0.811E-02 0.807E-02 -.608E-04 0.206E+03   0.189 0.116E+03 0.101E-02

106 15  1756.7 0.000E+00  97 0.972E-02 0.966E-02 -.104E-03 0.208E+03   0.194 0.115E+03 0.101E-02

day hour dtsum  rainrate node    sso       ss         u        bw        fl      ak        d

106 15     0.0 0.000E+00  98 0.807E-02 0.802E-02 -.598E-04 0.206E+03   0.189 0.116E+03 0.101E-02

